before

| size         | query time (in ms) | insert time (in ms) |
|--------------|--------------------|---------------------|
| 10           | 0.0                | 1.997               |
| 100          | 0.0                | 3.521               |
| 1000         | 1.001              | 5.189               |
| 10,000       | 0.0                | 21.449              |
| 50,000       | 0.0                | 101                 |
| 100,000      | 0.0                | 202.8               |
| 1,000,000... | 0.0                | 2218                |
| 10,000,000   | 0.0                | 28045               |
| 100,000,000  | 5.5                | 341296              |
